0,15,10,15,15,0,2,10,10,0,2,15,0,2,15,0,2,2,10,15,0,0,2,10,2,2,0,15,15,15,15,2,2,10,15,15,0,2,2,0,2,15,15,15,0,2,10,10,15,0,10,0,15,2,2,10,15,0,2,10,2,15,0,10,0,252,15,0,0,0,10,15,252,15,15,10,15,15,2,0,15,15,2,2,15,10,0,0,2,15,2,10,15,0,10,10
2,2,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,10,0,0,2,49,49,49,49,49,10,0,2,10,15,0,2,15,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,0,10,15,2,2,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,15,15
0,47,170,0,0,0,167,0,165,0,166,0,0,0,167,166,0,0,0,0,0,0,48,0,2,63,0,170,0,0,0,83,15,2,10,2,2,2,47,0,0,166,166,0,0,0,0,167,0,113,0,0,0,166,0,0,0,0,0,0,0,167,166,0,165,0,0,0,167,0,0,167,167,32,2,2,2,47,0,0,170,0,0,168,0,0,166,0,0,0,0,168,0,38,32,10
15,47,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,48,63,0,0,0,0,0,0,48,49,49,49,49,49,49,63,0,0,0,166,0,0,0,0,0,0,0,0,183,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,167,32,10,2,10,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,32,10
15,47,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,167,167,166,0,169,0,0,0,0,0,0,0,0,0,192,113,0,50,50,194,50,50,175,50,0,0,0,0,0,0,0,50,0,194,0,50,0,50,0,0,0,48,49,49,49,63,0,0,0,0,192,0,158,0,194,50,194,50,181,0,142,0,32,15
0,47,175,50,194,50,113,91,0,0,0,0,0,0,183,0,50,192,194,50,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,209,209,17,17,17,209,17,17,30,31,0,0,0,0,16,17,209,209,17,17,17,17,31,0,0,0,0,0,168,0,166,0,0,0,0,16,17,17,17,17,209,17,17,17,209,209,17,0,10
0,2,17,17,17,209,17,17,31,0,0,0,0,126,50,50,16,17,30,31,113,113,195,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,32,0,49,49,49,49,49,49,49,49,0,47,0,0,0,0,32,0,49,49,49,49,49,0,47,0,0,0,252,0,0,0,0,0,0,0,165,32,15,15,2,10,2,10,0,10,10,15,15,0,0
2,0,49,49,49,49,0,0,47,0,0,165,16,17,17,17,15,10,2,2,17,17,209,17,31,0,0,0,113,0,91,142,50,50,126,0,194,50,50,50,113,0,0,0,0,32,47,0,167,0,0,0,0,166,0,32,47,0,0,0,0,32,47,0,0,0,166,0,32,47,0,192,50,142,0,194,50,0,0,0,0,0,32,0,10,49,49,49,49,49,49,49,49,49,2,15
15,47,0,167,0,0,32,0,47,0,0,0,83,15,10,10,2,10,0,15,15,0,10,15,92,0,0,0,16,17,209,17,17,209,17,17,209,209,209,209,17,31,0,0,0,32,47,0,0,0,0,0,0,0,0,48,63,0,0,0,0,48,63,0,0,0,0,0,83,0,17,17,17,209,209,17,17,17,31,0,0,0,32,10,47,0,0,166,168,0,0,170,0,0,32,15
15,47,0,0,0,0,32,0,47,0,0,0,48,49,49,49,49,49,49,49,49,49,49,49,63,0,0,165,48,49,49,49,0,0,49,49,49,49,49,49,49,63,0,0,0,32,47,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,167,0,0,0,0,0,48,49,49,49,49,49,49,49,49,0,47,0,0,0,32,10,47,0,0,0,0,128,0,0,0,0,32,15
